stock_no,name,currency,volume,close
146,TAI PING CARPET,HKD,0,1.07
147,IB SETTLEMENT,HKD,0,0.163
148,KINGBOARD HLDG,HKD,1859026,25.15
149,CH AGRI-PROD EX,HKD,52167000,0.069
150,HYPEBEAST,HKD,1450000,1.28
151,WANT WANT CHINA,HKD,3407561,7.37
152,SHENZHEN INT'L,HKD,1315226,17.2
153,CHINA SAITE,HKD,64000,0.157
154,BE ENVIRONMENT,HKD,1807000,0.68
155,CHINA SOLAR,HKD,0,
156,LIPPO CHINA RES,HKD,560000,0.173
157,NATURAL BEAUTY,HKD,20000,0.68
158,MELBOURNE ENT,HKD,0,201.6
159,BROCKMAN MINING,HKD,560000,0.136
160,HON KWOK LAND,HKD,8000,3.2
161,AVIC IHL,HKD,1504000,8.2
162,CENTURY GINWA,HKD,2238000,0.223
163,EMPEROR INT'L,HKD,834000,1.73
164,CHINA BAOLI TEC,HKD,0,
165,CHINA EB LTD,HKD,2322000,14.52
166,NEWTIMES ENERGY,HKD,20000,0.081
167,IDT INT'L,HKD,350547,0.03
168,TSINGTAO BREW,HKD,1562574,52.0
169,WANDA HOTEL DEV,HKD,1088000,0.4
171,SILVER GRANT,HKD,1820000,1.21
172,GOLDBOND GROUP,HKD,0,
173,K. WAH INT'L,HKD,1693496,4.35
174,GEMINI INV,HKD,16000,0.6
175,GEELY AUTO,HKD,43850599,15.6
176,SUPERACTIVE GP,HKD,0,0.209
177,JIANGSU EXPRESS,HKD,1336270,10.86
178,SA SA INT'L,HKD,3609204,1.76
179,JOHNSON ELEC H,HKD,291119,17.66
180,KADER HOLDINGS,HKD,0,0.75
181,FUJIAN HOLDINGS,HKD,0,0.139
182,CONCORD NE,HKD,6200000,0.38
183,WINFULL GP,HKD,472000,0.069
184,KECK SENG INV,HKD,16000,4.5
185,ZENSUN ENT,HKD,2220000,0.345
186,NIMBLE HOLDINGS,HKD,0,0.53
187,JINGCHENG MAC,HKD,132000,1.47
188,SUNWAH KINGSWAY,HKD,5890000,0.049
189,DONGYUE GROUP,HKD,5969000,4.5
190,HKC (HOLDINGS),HKD,181055,6.42
191,LAI SUN INT'L,HKD,0,9.9
193,CAPITAL ESTATE,HKD,98000,0.89
194,LIU CHONG HING,HKD,46436,10.7
195,GREENTECH INTL,HKD,26390000,0.173
196,HONGHUA GROUP,HKD,12161000,0.58
197,HENG TAI,HKD,9670695,0.175
198,SMI HOLDINGS,HKD,0,
199,ITC PROPERTIES,HKD,93600,1.18
200,MELCO INT'L DEV,HKD,2271200,22.4
201,MAGNIFICENT,HKD,0,0.165
202,EVERCHINA INT'L,HKD,40000,0.224
204,CHINA INV DEV,HKD,0,
205,SEEC MEDIA,HKD,5560000,0.017
206,CMIC OCEAN,HKD,21000,0.36
207,JOY CITY PPT,HKD,3716000,0.9
208,POLYTEC ASSET,HKD,1557500,1.0
209,WINSHINE SCI,HKD,0,
210,DAPHNE INT'L,HKD,546000,0.147
211,STYLAND HOLD,HKD,190480,0.035
212,NANYANG HOLD,HKD,4000,49.6
213,NATIONAL ELEC H,HKD,174000,1.12
214,ASIA ORIENT,HKD,96626,1.26
215,HUTCHTEL HK,HKD,3388000,1.57
216,CHINNEY INV,HKD,48000,2.35
217,CHINA CHENGTONG,HKD,5002000,0.243
218,SWHYHK,HKD,1224000,1.38
219,SHUNHO PROPERTY,HKD,4000,2.2
220,U-PRESID CHINA,HKD,2732320,8.26
221,EASY ONE FIN,HKD,4332000,0.45
222,MIN XIN HOLD,HKD,0,3.2
223,ELIFE HLDGS,HKD,3605000,0.108
224,PIONEER GLOBAL,HKD,0,1.55
225,POKFULAM,HKD,22000,14.8
226,LIPPO,HKD,0,2.74
227,FIRST SHANGHAI,HKD,2664000,0.475
228,CHINA ENERGY,HKD,6892000,0.211
229,RAYMOND IND,HKD,61000,0.9
230,MINMETALS LAND,HKD,290000,1.33
231,PING AN SEC GP,HKD,2560000,0.031
232,AVIC INT'L,HKD,3514000,0.168
233,MY MEDICARE,HKD,0,
234,NEW CENTURY GP,HKD,3672000,0.121
235,CHINA STRATEGIC,HKD,2380000,0.034
236,SAN MIGUEL HK,HKD,0,0.98
237,SAFETY GODOWN,HKD,10000,12.36
238,EVERGREEN INT,HKD,10000,0.365
239,PAK FAH YEOW,HKD,57500,2.7
240,BUILD KING HOLD,HKD,150500,0.89
241,ALI HEALTH,HKD,10282339,9.13
242,SHUN TAK HOLD,HKD,10951004,3.92
243,QPL INT'L,HKD,194000,0.038
244,SINCERE,HKD,0,0.208
245,CN MINSHENG FIN,HKD,5941080,0.094
246,REALGOLD MINING,HKD,0,
247,TST PROPERTIES,HKD,0,25.2
248,HKC INT'L HOLD,HKD,44000,0.08
250,SINO-I TECH,HKD,400000,0.055
251,SEA HOLDINGS,HKD,80000,7.06
252,SE ASIA PPT,HKD,10000,3.3
253,SHUNHO HOLDINGS,HKD,0,1.73
254,NUR HOLDINGS,HKD,0,
255,LUNG KEE,HKD,60000,2.61
256,CITYCHAMP,HKD,2420244,1.66
257,CHINA EB INT'L,HKD,12800851,6.27
258,TOMSON GROUP,HKD,584000,1.99
259,YEEBO (INT'L H),HKD,84000,1.16
260,AVIC JOY HLDG,HKD,1900000,0.033
261,GBA INV HLDGS,HKD,0,0.01
262,DESON DEV INT'L,HKD,305000,0.201
263,GT GROUP HLDG,HKD,0,0.205
264,CN INT DEV CORP,HKD,36000,1.5
265,ORIENT VICTORY,HKD,0,0.09
266,TIAN TECK LAND,HKD,156000,7.2
267,CITIC,HKD,10233000,10.42
268,KINGDEE INT'L,HKD,9533617,7.91
269,CRTG,HKD,7820000,0.031
270,GUANGDONG INV,HKD,2641450,16.38
271,ASIASEC PPT,HKD,22000,1.4
272,SHUI ON LAND,HKD,3391289,1.75
273,MASON GP HOLD,HKD,1578760,0.061
274,C BILLION RES,HKD,644000,0.017
275,MASTER GLORY GP,HKD,0,
276,MONGOLIA ENERGY,HKD,989500,0.083
277,TERN PROPERTIES,HKD,0,4.4
278,WAH HA REALTY,HKD,0,6.9
279,FREEMAN FINTECH,HKD,0,
280,KING FOOK HOLD,HKD,774000,0.37
281,RIVERA (HOLD),HKD,412000,0.49
282,NEXT DIGITAL,HKD,895852,0.26
285,BYD ELECTRONIC,HKD,19097000,15.6
286,AIDIGONG,HKD,21628000,0.56
287,WINFAIR INV,HKD,0,10.58
288,WH GROUP,HKD,26071399,8.26
289,WING ON CO,HKD,36000,21.8
290,C FORTUNE FIN,HKD,1602000,0.058
291,CHINA RES BEER,HKD,5914660,42.5
292,ASIA STD HOTEL,HKD,691242,0.285
293,CATHAY PAC AIR,HKD,1748065,11.44
294,YANGTZEKIANG,HKD,0,2.84
295,KONG SUN HOLD,HKD,1000000,0.074
296,EMPEROR E HOTEL,HKD,285000,1.56
297,SINOFERT,HKD,3134000,0.82
